,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,emoji_count
35,1451141348044771333,1451061401615806468,2021-10-21 19:00:32 Malay Peninsula Standard Time,2021-10-21,19:00:32,800,50598384,clawjaw,Мэтт,, i enjoy it when the climate changes as a human being my body needs it the earth also needs the climate to change anyway just going to pop some fuel into our outdoor heater for the chickens https t co mmgdi xfbo,en,['frankiegem57'],[],['https://pbs.twimg.com/tweet_video_thumb/FCN9XAsWYAUpd7-.jpg'],0,0,0,"('', 0)",[],https://twitter.com/Clawjaw/status/1451141348044771333,False,,1,https://pbs.twimg.com/tweet_video_thumb/FCN9XAsWYAUpd7-.jpg,,"55.16310,61.38877,300km",,,,,"[{'screen_name': 'FrankieGem57', 'name': 'Chris (VOTE BACK BETTER) Cooper', 'id': '765575668323213312'}]",,,,,0
36,1408137301075574788,1408137301075574788,2021-06-25 02:57:49 Malay Peninsula Standard Time,2021-06-25,02:57:49,800,50598384,clawjaw,Мэтт,,i hear some countries are talking about climate change being a cause of death and it has it is to be written on the death certificate get ready the climate covid lockdowns are going to come thick and fast way into the s and whatever way they wish we did try and warn you ,en,[],[],[],0,0,1,"('', 0)",[],https://twitter.com/Clawjaw/status/1408137301075574788,False,,0,,,"55.16310,61.38877,300km",,,,,[],,,,,0
37,1590539885135695873,1590539885135695873,2022-11-10 11:00:34 Malay Peninsula Standard Time,2022-11-10,11:00:34,800,1318724088,nixclements,Nicolette Clements,,garth napier climate change what a just transition mean for africa https t co awqzgfuwmm garth napier climate change what a just transition mean for africa,en,[],['https://insurancebiz.co.za/garth-napier-climate-change-what-a-just-transition-mean-for-africa.html/'],[],0,0,0,"('', 0)",[],https://twitter.com/NixClements/status/1590539885135695873,False,,0,,,"55.80030,49.10827,300km",,,,,[],,,,,0
38,1590206971084525568,1590206971084525568,2022-11-09 12:57:41 Malay Peninsula Standard Time,2022-11-09,12:57:41,800,469173374,usamebee,Blacke,,the great reset is a scam of monumental proportion bill gates caught admitting climate change is wef scam to inner circle truth in plain https t co xicxqq nqo https t co gxroknicyd,en,[],"['http://Sight.com', 'https://truthinplainsight.com/bill-gates-caught-admitting-climate-change-is-wef-scam-to-inner-circle/']",[],0,0,1,"('', 0)",[],https://twitter.com/usamebee/status/1590206971084525568,False,,0,,,"55.80030,49.10827,300km",,,,,[],,,,,0
39,1590539885135695873,1590539885135695873,2022-11-10 11:00:34 Malay Peninsula Standard Time,2022-11-10,11:00:34,800,1318724088,nixclements,Nicolette Clements,,garth napier climate change what a just transition mean for africa https t co awqzgfuwmm garth napier climate change what a just transition mean for africa,en,[],['https://insurancebiz.co.za/garth-napier-climate-change-what-a-just-transition-mean-for-africa.html/'],[],0,0,0,"('', 0)",[],https://twitter.com/NixClements/status/1590539885135695873,False,,0,,,"55.80030,49.10827,300km",,,,,[],,,,,0
40,1590206971084525568,1590206971084525568,2022-11-09 12:57:41 Malay Peninsula Standard Time,2022-11-09,12:57:41,800,469173374,usamebee,Blacke,,the great reset is a scam of monumental proportion bill gates caught admitting climate change is wef scam to inner circle truth in plain https t co xicxqq nqo https t co gxroknicyd,en,[],"['http://Sight.com', 'https://truthinplainsight.com/bill-gates-caught-admitting-climate-change-is-wef-scam-to-inner-circle/']",[],0,0,1,"('', 0)",[],https://twitter.com/usamebee/status/1590206971084525568,False,,0,,,"55.80030,49.10827,300km",,,,,[],,,,,0
41,1590539885135695873,1590539885135695873,2022-11-10 11:00:34 Malay Peninsula Standard Time,2022-11-10,11:00:34,800,1318724088,nixclements,Nicolette Clements,,garth napier climate change what a just transition mean for africa https t co awqzgfuwmm garth napier climate change what a just transition mean for africa,en,[],['https://insurancebiz.co.za/garth-napier-climate-change-what-a-just-transition-mean-for-africa.html/'],[],0,0,0,"('', 0)",[],https://twitter.com/NixClements/status/1590539885135695873,False,,0,,,"55.80030,49.10827,300km",,,,,[],,,,,0
42,1590206971084525568,1590206971084525568,2022-11-09 12:57:41 Malay Peninsula Standard Time,2022-11-09,12:57:41,800,469173374,usamebee,Blacke,,the great reset is a scam of monumental proportion bill gates caught admitting climate change is wef scam to inner circle truth in plain https t co xicxqq nqo https t co gxroknicyd,en,[],"['http://Sight.com', 'https://truthinplainsight.com/bill-gates-caught-admitting-climate-change-is-wef-scam-to-inner-circle/']",[],0,0,1,"('', 0)",[],https://twitter.com/usamebee/status/1590206971084525568,False,,0,,,"55.80030,49.10827,300km",,,,,[],,,,,0
43,1590757604149448706,1590757604149448706,2022-11-11 01:25:42 Malay Peninsula Standard Time,2022-11-11,01:25:42,800,561218445,greentieirina,Irina Zerchaninova,,at cop industrial energy efficiency a new era of green innovation for aviation vehicle to grid how evs can keep the power on synergy between biodiversity conservation and tackling climate change https t co mwfhn lalu globalwarming climate energyefficiency,en,[],['http://www.rsci.ru/greentie/news/243954.php'],[],0,0,0,"('', 0)",[],https://twitter.com/GreentieIrina/status/1590757604149448706,False,,0,,,"55.75696,37.61502,300km",,,,,[],,,,,0
44,1590720001212043265,1590712881552703494,2022-11-10 22:56:17 Malay Peninsula Standard Time,2022-11-10,22:56:17,800,820376893669130242,4realvputin,Vladimir Pukin,, so the wsjs take on climate change a global problem is only approaching it from a narcissistic domestic perspective like the rest of the world is inconsequential okay then when our foolishness creates problems elsewhere it increases immigration to the us ,en,['washingtonpost'],[],[],0,0,0,"('', 0)",[],https://twitter.com/4realVPutin/status/1590720001212043265,False,,0,,,"55.75696,37.61502,300km",,,,,"[{'screen_name': 'washingtonpost', 'name': 'The Washington Post', 'id': '2467791'}]",,,,,0
45,1590474453062135809,1590472198120443904,2022-11-10 06:40:33 Malay Peninsula Standard Time,2022-11-10,06:40:33,800,1538242443929235456,luvsheckles,LICENSED FACT CHECKER,, no one cares about the covid scam anymore its time for the climate change scam read the room,en,['cspotweet'],[],[],0,0,0,"('', 0)",[],https://twitter.com/luvsheckles/status/1590474453062135809,False,,0,,,"55.75696,37.61502,300km",,,,,"[{'screen_name': 'cspotweet', 'name': 'Courtney Theriault', 'id': '174473050'}]",,,,,0
46,1590453823079739392,1589726491293663238,2022-11-10 05:18:35 Malay Peninsula Standard Time,2022-11-10,05:18:35,800,1458514181867675648,sharky_park,SharkyPark,, my favourite is maldives extending their airport to encourage more flights to the ever increasing resorts being built on atolls paid for by sovereign wealth fund which is demanding money for climate change which will sink their investments ,en,"['toadmeister', 'yorkshiretaff']",[],[],0,0,1,"('', 0)",[],https://twitter.com/sharky_park/status/1590453823079739392,False,,0,,,"55.75696,37.61502,300km",,,,,"[{'screen_name': 'toadmeister', 'name': 'Toby Young', 'id': '18809812'}, {'screen_name': 'YorkshireTaff', 'name': 'YorkshireTaff', 'id': '50727917'}]",,,,,0
47,1590442836465704960,1590391749171900417,2022-11-10 04:34:55 Malay Peninsula Standard Time,2022-11-10,04:34:55,800,234720404,politifactbias,PolitiFact Bias,, i understand historically where it has it is been but if this fnc report is accurate then it shows a wave of motivated voters that went underreported and if they rank climate change ahead of crime then that does not bode well for the gop ,en,['gooch1701'],[],[],1,0,0,"('', 0)",[],https://twitter.com/PolitiFactBias/status/1590442836465704960,False,,0,,,"55.75696,37.61502,300km",,,,,"[{'screen_name': 'GOOCH1701', 'name': 'Donald Gooch', 'id': '21911888'}]",,,,,0
